text,n_instances,mean_complexity,genre,epoche,date
"P. Abusir Kairo Fragm. λ",3,3075.33333333333,Administrativer Text,Altes Reich,-2394.5
"P. Strasbourg Eu",1,3074,nicht spezifiziert,Altes Reich,-2263
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 3049",20,3067.5,Hymnus im Götterkult,Dritte Zwischenzeit,-830
"Kairo, Institut français d’archéologie orientale, OL 25",14,3063.14285714286,Kemit,Neues Reich,-1182
"London, Petrie Museum of Egyptian Archaeology, 32157 ro",52,3063.09615384615,Hymne im Königskult,Mittleres Reich,-1802
"London, Petrie Museum of Egyptian Archaeology, 32256",1,3063,Administrativer Text,Neues Reich,-1344.5
"Ann Arbor, University of Michigan, Kelsey Museum of Ancient and Mediaeval Archaeology, 1981.04.0025 Florenz, Museo Egizio, 11912 a–b New York City, Metropolitan Museum of Art, 25.3.212 a-g Providence (RI), John Hay Library, 18077 Toronto, Royal Ontario Museum, 910.85.222 [b]",40,3057.625,Totenbuch,Spätzeit,-637
"Kairo, Institut français d’archéologie orientale, 2557",14,3056.21428571429,Kemit,Neues Reich,-1182
"D. Hatnub 25",82,3056.10975609756,Biographischer Text,Erste Zwischenzeit,-2092.5
"D. Hatnub 24",91,3050.83516483516,Biographischer Text,Erste Zwischenzeit,-2092.5
"Kairo, Institut français d’archéologie orientale, OL 33",10,3043.1,Kemit,Neues Reich,-1182
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10050",1,3043,Administrativer Text,Mittleres Reich,-1864.5
"London, British Museum, EA 10045 + EA 10322 Manchester, John Rylands Library, Hieratic papyrus 4 Oxford, Bodleian Library, MS. Egypt. a. 1 (P) + MS. Egypt. b. 2 (P) Wien, Kunsthistorisches Museum, ÄOS 3856 + ÄOS 3857 + ÄOS 3858 + ÄOS 3862 + ÄOS 3864 + ÄOS 3866 + ÄOS 3867 + ÄOS 3868 + ÄOS 3869 Zagreb, Archäologisches Museum in Zagreb, 886",1,3037,Totenbuch,Griechisch-römische Zeit,-248.5
"München, Staatliche Sammlung Ägyptischer Kunst, ÄS 1638",11,3037,Kemit,Neues Reich,-1246
"Kairo, Institut français d’archéologie orientale, 337",16,3035.625,Administrativer Text,Neues Reich,-1149.5
"Berlin, Ägyptisches Museum und Papyrussammlung, P. 10003",4,3034,Administrativer Text,Mittleres Reich,-1861.5
"Leiden, Rijksmuseum van Oudheden, AMS 38 b",7,3029.85714285714,Brief,Neues Reich,-1093.5
