script,sessionId,sessionIndex,expert,metric,n,r,z
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,meanAccel,142,-0.029999775963046,-0.0300087806243591
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,peakAccel,142,0.0110118265491313,0.011012271680736
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,rmsAstar,142,0.363301719157686,0.380684442152476
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,meanJerk,142,0.0482764593031132,0.0483140164738416
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,peakJerk,142,0.113686337057284,0.114179953462804
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,rmsJstar,142,0.434855192545841,0.465868608648397
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,totalTurningAbs,142,0.462032861612602,0.499892819994187
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,peakTurningAbs,142,0.0669466728764596,0.0670469578309636
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,p95TurningAbs,142,0.12405249868553,0.124694788622145
Hebrew,86ff1615-215a-418f-9069-50443f08e727,3,0,meanTurning,142,0.199647722111844,0.202365624833504
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,drawingTime,144,0.518911564346163,0.574849085066589
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,pathLength,144,0.426973813027547,0.45618992452425
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,skeletonPixelCount,144,0.586121487293526,0.671737257937846
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,totalWorkProxy,144,0.372915532400229,0.391805317392564
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,workPerLength,144,-0.147095331368406,-0.148170223096773
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,meanSpeed,144,-0.0847350670736677,-0.084938745399269
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,peakSpeed,144,-0.00104766480650307,-0.00104766518980949
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,rmsVstar,144,-0.216094699203408,-0.219555856936861
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,meanAccel,144,-0.170777196842009,-0.172467098846353
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,peakAccel,144,-0.0136751391407882,-0.0136759916964462
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,rmsAstar,144,0.470746556124545,0.511028997541963
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,meanJerk,144,-0.0828184056669445,-0.0830085361309765
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,peakJerk,144,0.0213866336916835,0.0213898952507305
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,rmsJstar,144,0.517220585805403,0.572537764033181
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,totalTurningAbs,144,0.149108312959714,0.150228348680105
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,peakTurningAbs,144,-0.145606569615723,-0.146648875910572
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,p95TurningAbs,144,-0.351385327637313,-0.367023349347578
Hebrew,15741ef2-6de2-49c7-ab0d-9db40cef7552,4,0,meanTurning,144,-0.192475852704985,-0.194907007416431
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,drawingTime,146,0.587315336897676,0.673557813529306
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,pathLength,146,0.575079401826049,0.65507932010144
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,skeletonPixelCount,146,0.617608033224457,0.721128820410596
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,totalWorkProxy,146,0.56822699273227,0.644900476098266
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,workPerLength,146,0.00553368158615169,0.00553373807064301
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,meanSpeed,146,-0.0746534563051897,-0.0747926065894733
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,peakSpeed,146,-0.213232825697024,-0.216555733716354
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,rmsVstar,146,-0.360754273053893,-0.37775275393008
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,meanAccel,146,-0.0368432036428497,-0.036859887820922
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,peakAccel,146,-0.0845429714460083,-0.0847452637139465
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,rmsAstar,146,0.49262340724245,0.539518506201126
Hebrew,966c65df-c51e-42d8-aa9c-16f3e1db7de9,5,0,meanJerk,146,0.00507919140797612,0.00507923508662603
