mdc,information_content,slope_raw,slope_genre_controlled
A1,4.1423775951256,-1.22729883376973,-1.35446747422357
A17,6.64100269711158,-0.662068164694886,-0.847407792369428
A2,4.55866281249832,-0.884320673833096,-1.05519624163562
A24,4.74660068247183,-0.993776849112295,-1.14778682220851
A30,7.12565002319775,-0.148984437713013,-0.372308801359373
A47,7.14231531825325,-0.454957485262119,-0.599391162292151
A9,7.44551791457796,-0.530320309637347,-0.596123866595397
B1,5.50428572350604,-0.129897883135072,-0.232234154586372
D2,4.63773403124863,-0.530648456629511,-0.685694106026621
D21,3.1100447863636,-0.238601359651733,-0.461711827557894
D28,6.43402535618578,0.870979070601584,0.711774479929608
D34,7.51131210294031,-0.273300270790718,-0.36882558430926
D35,5.42956020002189,-0.664839676758059,-0.834491862871323
D36,3.95100737056587,-0.0561352306784095,-0.171897563593276
D37,5.69495114844782,-0.181571282774855,-0.231286728070047
D4,5.01089830693783,-0.398645694184674,-0.551845082741915
D40,5.6792207439533,-0.317295537086943,-0.473374060131345
D46,4.37393867622808,-0.318786056686553,-0.49215606005397
D50,6.41765708581713,-0.0860882866016314,-0.323170721330255
D54,4.61343970124103,-0.179383372753384,-0.375300644071864
D58,4.64264975872968,0.0810227760938336,-0.0901479632487243
E34,5.87699230834237,-0.675337290682605,-0.863279519964253
E9,7.07568388530534,-0.367846239737523,-0.573221718660947
F13,7.06367591962764,0.344219085977087,0.143755932779318
F18,6.34389796192396,0.306422811741382,0.013134748469813
F21,6.54508512993747,0.616915794917954,0.41976165959773
F4,6.67026015470528,0.152197374804251,-0.0124692123976957
G1,3.60514043203303,-1.30814348778789,-1.391915591156
G17,3.35043373440573,-0.9799652783182,-1.08162659096604
G29,6.49530754877304,0.274376310614732,-0.0438221392126688
G35,7.04662708976309,1.36938946126798,1.14919344490175
G36,6.21455276092272,-0.087613331812555,-0.250346539944683
G37,5.34365590134553,0.167727007936027,0.0348373321426925
G5,6.25396906993159,0.319719083037561,0.156182032036899
G7,3.80036106901408,-0.74728996676843,-0.976366884913783
K1,7.03390356741453,-0.129914176066219,-0.310895488174082
L2,6.57314711486623,-1.07474789542745,-1.23639876999696
N41,6.52263487928204,-0.427124095833066,-0.671647526897942
O1,4.8633132109709,-0.293507232281052,-0.465739667896188
O4,5.55338282261861,-0.278372836073416,-0.418146381859248
O49,5.66940995851219,-0.284952167623772,-0.417811496952559
Z2,3.22939569772013,0.101629397857573,-0.0585194184144644
Z4A,5.98888423555227,0.217932282239782,0.0173326785822352
