datierung,startdatum,enddatum,epoche,epoche_startdatum,epoche_enddatum
"Frühdynastische Zeit, 2. Dynastie",-2890,-2686,Frühdynastische Zeit,-2890,-2686
Griechisch-römische Zeit,-332,395,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Antoninische Dynastie, Hadrian, Regierungsjahr 8",124,125,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Antoninische Dynastie, Trajan – Griechisch-römische Zeit, Antoninische Dynastie, Antoninus Pius",98,161,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“) – Griechisch-römische Zeit, Ptolemäerzeit",-332,-30,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander der Große – Griechisch-römische Zeit, Ptolemäerzeit",-332,-30,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander der Große – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios II. Philadelphos",-332,-246,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV. – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios I. Soter I.",-317,-285,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 11",-317,-310,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Argeaden („Makedonierzeit“), Alexander IV., Regierungsjahr 12, Choiak",-317,-310,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus",-30,14,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 19, Tag 26, Pachon",-12,-11,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Augustus, Regierungsjahr 21, Tag 28, Mesore",-10,-9,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Nero, Regierungsjahr 11, Tag 30, Phamenoth",64,65,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Ptolemäerzeit",-332,-30,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios II. Philadelphos, Regierungsjahr 37, Tag 27, Thoth",-249,-248,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios III. Euergetes I.",-246,-221,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios VI. Philometor – Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios IX. Soter II. (1. Regierungszeit in Ägypten)",-180,-107,Griechisch-römische Zeit,-332,395
"Griechisch-römische Zeit, Ptolemäerzeit, Ptolemaios XIV. – Griechisch-römische Zeit, Iulisch-Claudische Dynastie, Claudius",-47,54,Griechisch-römische Zeit,-332,395
Mittleres Reich,-2055,-1650,Mittleres Reich,-2055,-1650
