text,aku_text_id,aku_url,n_signs,genre,textinhalt_raw,datierung,epoche,date_start,date_end,date_mid,register,notes
P. Abusir Kairo Fragm. k,5000601,https://aku-pal.uni-mainz.de/texts/5000601,1,Administrativer Text,Administrativer Text,"Altes Reich, 5. Dynastie, Djedkare",Altes Reich,-2414,-2375,-2394,,
P. Strasbourg Et,5001228,https://aku-pal.uni-mainz.de/texts/5001228,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie",Altes Reich,-2345,-2181,-2263,,
P. Strasbourg Eo,5001229,https://aku-pal.uni-mainz.de/texts/5001229,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie",Altes Reich,-2345,-2181,-2263,,
P. Strasbourg Dv,5001233,https://aku-pal.uni-mainz.de/texts/5001233,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie",Altes Reich,-2345,-2181,-2263,,
P. Strasbourg Ek,5001230,https://aku-pal.uni-mainz.de/texts/5001230,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 6. Dynastie",Altes Reich,-2345,-2181,-2263,,
D. Hatnub 9,5000602,https://aku-pal.uni-mainz.de/texts/5000602,1,nicht spezifiziert,nicht spezifiziert,"Erste Zwischenzeit, 9./10. Dynastie, Iha (Nomarch)",Erste Zwischenzeit,-2160,-2025,-2092,,
"Kairo, Ägyptisches Museum, CG 28088",5000138,https://aku-pal.uni-mainz.de/texts/5000138,1,Pyramidentexte,Pyramidentexte,"Mittleres Reich, 12. Dynastie, Sesostris II. – Mittleres Reich, 12. Dynastie, Sesostris III.",Mittleres Reich,-1877,-1831,-1854,,
D. Hatnub 10,5000608,https://aku-pal.uni-mainz.de/texts/5000608,1,nicht spezifiziert,nicht spezifiziert,"Erste Zwischenzeit, 9./10. Dynastie, Ahanacht (Nomarch), Regierungsjahr 20",Erste Zwischenzeit,-2160,-1650,-1905,,
D. Hatnub 21,5000609,https://aku-pal.uni-mainz.de/texts/5000609,1,nicht spezifiziert,nicht spezifiziert,"Erste Zwischenzeit, 9./10. Dynastie, Nehri I. (Nomarch), Regierungsjahr 6",Erste Zwischenzeit,-2160,-2025,-2092,,
"Berlin, Ägyptisches Museum und Papyrussammlung, ÄM 14000",5000610,https://aku-pal.uni-mainz.de/texts/5000610,1,nicht spezifiziert,nicht spezifiziert,"Neues Reich, 18. Dynastie, Amenhotep IV./Echnaton",Neues Reich,-1352,-1336,-1344,,
"Turin, Museo Egizio, Cat. 1975",139464,https://aku-pal.uni-mainz.de/texts/139464,1,nicht spezifiziert,nicht spezifiziert,"Neues Reich, 20. Dynastie, Ramses XI., Regierungsjahr 10",Neues Reich,-1090,-1089,-1090,,
Hieratischer Vermerk auf Leichentuch der Mumie Sethos’ I.,5000621,https://aku-pal.uni-mainz.de/texts/5000621,1,nicht spezifiziert,nicht spezifiziert,"Dritte Zwischenzeit, 21. Dynastie, Mencheperre (HPA), Regierungsjahr 7, Monat 2, Jahreszeit pr.t, Tag 16",Dritte Zwischenzeit,-1069,-945,-1007,,
"Kairo, Ägyptisches Museum, CG 61020 [docket Herihor]",5000624,https://aku-pal.uni-mainz.de/texts/5000624,1,nicht spezifiziert,nicht spezifiziert (docket Herihor (palimpsest)),"Dritte Zwischenzeit, 21. Dynastie, Herihor (HPA), Regierungsjahr 6, Monat 3, Jahreszeit pr.t, Tag 5",Dritte Zwischenzeit,-1069,-945,-1007,,
"London, British Museum, EA 30842",5000142,https://aku-pal.uni-mainz.de/texts/5000142,1,Sargtexte,Sargtexte,"Mittleres Reich, 12. Dynastie, Sesostris II. – Mittleres Reich, 12. Dynastie, Sesostris III.",Mittleres Reich,-1877,-1831,-1854,,
"Gizeh, Grand Egyptian Museum, 3215",5000646,https://aku-pal.uni-mainz.de/texts/5000646,1,nicht spezifiziert,nicht spezifiziert,"Altes Reich, 5. Dynastie",Altes Reich,-2494,-2345,-2420,,
"Brooklyn (NY), The Brooklyn Museum, 37.1507E Kairo, Ägyptisches Museum, CG 28023",5000213,https://aku-pal.uni-mainz.de/texts/5000213,1,Sargtexte,Sargtexte,"Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep II. (Gesamtzeitraum) – Mittleres Reich, 11. Dynastie (nach der Reichseinigung), Mentuhotep IV.",Mittleres Reich,-2055,-1985,-2020,,
"Turin, Museo Egizio, CGT 57080",138957,https://aku-pal.uni-mainz.de/texts/138957,1,Administrativer Text,Administrativer Text (Deliveries and/or deficits of products (wood)),"Neues Reich, 19. Dynastie, Ramses II.",Neues Reich,-1279,-1213,-1246,,
D. Assiut N13.1 TN7,5000507,https://aku-pal.uni-mainz.de/texts/5000507,1,Kolophon,Kolophon ((?)),"Neues Reich, 18. Dynastie",Neues Reich,-1550,-1295,-1422,,
"Kairo, Ägyptisches Museum, CG 28083",5000137,https://aku-pal.uni-mainz.de/texts/5000137,1,Sargtexte,Sargtexte,"Mittleres Reich, 12. Dynastie, Sesostris II. – Mittleres Reich, 12. Dynastie, Sesostris III.",Mittleres Reich,-1877,-1831,-1854,,
D. Assiut N13.1 TS33,5000716,https://aku-pal.uni-mainz.de/texts/5000716,1,Königsname und Titel,Königsname und Titel (Part of Royal name and titles),"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
D. Assiut N13.1 TW31,5000728,https://aku-pal.uni-mainz.de/texts/5000728,1,Fürbitte,Fürbitte,"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
D. Assiut N13.1 TS9,5000713,https://aku-pal.uni-mainz.de/texts/5000713,1,Fürbitte,Fürbitte,"Neues Reich, 19. Dynastie – Neues Reich, 20. Dynastie",Neues Reich,-1295,-1069,-1182,,
D. Assiut N13.1 TS2,5000661,https://aku-pal.uni-mainz.de/texts/5000661,1,Lehre,Lehre (beginning),"Neues Reich, 18. Dynastie",Neues Reich,-1550,-1295,-1422,,
