genre,n_instances,n_texts,year_span,date_slope,se,p
Administrativer Text,1166,118,1375.5,-0.499543134191326,0.246191302624365,0.0424496107325004
Brief,1363,20,1047,-0.839891768771395,0.373546903309247,0.0245491754052627
Kemit,1594,204,659.5,0.400596406004939,0.39336209972708,0.308492197005597
Lehre,534,16,679.5,-1.23760981834968,0.201692351646063,8.455774291265e-10
