"sign ID","grapheme ID","mdc"
"504","58","B1"
"505","58","B1"
"506","60","B7C"
"507","60","B7C"
"508","58","B1"
"509","58","B1"
"510","58","B1"
"511","27","A48"
"512","62","B4"
"513","62","B4"
"514","60","B7C"
"515","60","B7C"
"516","58","B1"
"517","58","B1"
"518","27","A48"
"519","61","B2"
"520","60","B7C"
"521","58","B1"
"523","224","F8"
"524","117","C4"
"525","779","C10"
"526","784","C12"
"535","126","D3"
"536","126","D3"
"537","159","D40"
"538","123","D1"
"539","123","D1"
"540","124","D2"
"541","124","D2"
"542","124","D2"
"543","128","D4"
"544","128","D4"
"545","128","D4"
"546","130","D6"
"547","130","D6"
"548","1292","D143"
"549","133","D10"
"550","133","D10"
"552","302","D17"
"553","125","D20"
"554","137","D21"
"555","137","D21"
"556","137","D21"
"557","137","D21"
"558","143","D26"
"559","144","D28"
"560","145","D32"
"561","145","D32"
"562","145","D32"
"565","148","D34"
"566","147","D35"
"567","151","D36"
"568","151","D36"
"569","151","D36"
"570","154","D37"
"571","154","D37"
"572","156","D39"
"573","159","D40"
"575","158","D43"
"576","153","D41"
"577","158","D43"
"578","150","D45"
"579","150","D45"
"580","161","D46"
"581","161","D46"
"582","161","D46"
"583","1457","B56"
"584","1600","B53"
"585","60","B7C"
"586","1457","B56"
"587","163","D50"
"589","164","D51"
"590","164","D51"
"591","164","D51"
"592","166","D52"
"593","167","D53"
"594","167","D53"
"595","169","D54"
"596","169","D54"
"597","169","D54"
"598","170","D55"
"600","172","D57"
"601","173","D58"
"602","173","D58"
"603","173","D58"
"605","125","D20"
"606","137","D21"
"607","137","D21"
"608","137","D21"
"609","137","D21"
"610","151","D36"
"611","151","D36"
"612","159","D40"
"613","161","D46"
"614","173","D58"
"615","173","D58"
"621","123","D1"
"622","124","D2"
"623","124","D2"
"624","124","D2"
"625","128","D4"
"626","128","D4"
"627","137","D21"
"628","137","D21"
"629","137","D21"
"630","137","D21"
"631","145","D32"
"632","147","D35"
"633","151","D36"
"634","151","D36"
"635","151","D36"
"636","154","D37"
"637","154","D37"
"638","159","D40"
"639","158","D43"
"640","161","D46"
"641","161","D46"
"642","167","D53"
"643","169","D54"
"644","169","D54"
"645","171","D56"
"646","173","D58"
"648","168","F181"
"651","126","D3"
"652","123","D1"
"653","124","D2"
"654","124","D2"
"655","128","D4"
"656","128","D4"
"657","130","D6"
"658","1292","D143"
"659","133","D10"
"660","135","D12"
"661","135","D12"
"664","125","D20"
"665","137","D21"
"666","137","D21"
"667","143","D26"
"668","144","D28"
"669","145","D32"
"670","149","D33"
"671","149","D33"
"672","148","D34"
"673","147","D35"
"674","151","D36"
"677","156","D39"
"678","159","D40"
"679","153","D41"
"680","158","D43"
"681","150","D45"
"682","161","D46"
"683","161","D46"
"684","160","D49"
"685","163","D50"
"686","163","D50"
"687","166","D52"
"688","167","D53"
"689","169","D54"
"690","169","D54"
"691","170","D55"
"692","171","D56"
"694","172","D57"
"695","173","D58"
"696","428","N41"
"697","428","N41"
"704","126","D3"
"705","123","D1"
"706","123","D1"
"707","124","D2"
"708","124","D2"
"709","126","D3"
"710","126","D3"
"711","128","D4"
"712","128","D4"
"713","128","D4"
"714","130","D6"
"715","1292","D143"
"716","133","D10"
"717","135","D12"
"720","302","D17"
"721","125","D20"
"722","137","D21"
"723","137","D21"
"724","137","D21"
"725","141","D25"
"726","143","D26"
"727","143","D26"
"728","144","D28"
"729","144","D28"
"730","145","D32"
"731","145","D32"
"732","149","D33"
"734","148","D34"
"735","147","D35"
"736","147","D35"
"737","151","D36"
"738","151","D36"
"739","151","D36"
"740","154","D37"
"742","156","D39"
"743","159","D40"
"744","153","D41"
"745","153","D41"
"746","153","D41"
"747","158","D43"
"748","150","D45"
"749","150","D45"
"750","161","D46"
"751","161","D46"
"752","161","D46"
"753","161","D46"
"754","160","D49"
"755","163","D50"
"756","163","D50"
"757","163","D50"
"758","164","D51"
"759","166","D52"
"760","166","D52"
"761","167","D53"
"762","169","D54"
"763","169","D54"
"764","169","D54"
"766","169","D54"
"767","170","D55"
"768","170","D55"
"769","171","D56"
"770","171","D56"
"771","172","D57"
"772","172","D57"
"773","173","D58"
"774","173","D58"
"776","428","N41"
"777","428","N41"
"778","428","N41"
"779","428","N41"
"780","428","N41"
"785","123","D1"
"786","124","D2"
"787","124","D2"
"788","124","D2"
"789","128","D4"
"790","128","D4"
"791","1292","D143"
"792","133","D10"
"794","135","D12"
"795","302","D17"
"796","125","D20"
"797","137","D21"
"798","137","D21"
"799","137","D21"
"800","143","D26"
"802","144","D28"
"803","151","D36"
"804","151","D36"
"805","151","D36"
"806","159","D40"
"807","153","D41"
"808","150","D45"
"809","161","D46"
"810","161","D46"
"811","163","D50"
"812","167","D53"
"813","169","D54"
"814","169","D54"
"815","169","D54"
"816","173","D58"
"817","173","D58"
"818","428","N41"
"819","428","N41"
"820","40","A239"
"821","3","A2"
"822","1","A1"
"823","1","A1"
"824","1","A1"
"826","3","A2"
"827","3","A2"
"828","10","A7A"
"830","23","Z6"
"831","23","Z6"
"832","23","Z6"
"833","19","A15"
"834","4","A17"
"835","51","A23"
"836","43","A24"
"837","6","A26"
"838","8","A28"
"839","30","A51"
"840","15","A53"
"844","126","D3"
"845","123","D1"
"846","124","D2"
"847","128","D4"
"848","128","D4"
"849","130","D6"
"851","135","D12"
"852","135","D12"
"853","125","D20"
"854","137","D21"
"855","137","D21"
"856","141","D25"
"857","142","D24"
"858","143","D26"
"859","144","D28"
"860","147","D35"
"861","151","D36"
"862","151","D36"
"863","151","D36"
"864","154","D37"
"865","159","D40"
"866","153","D41"
"867","158","D43"
"868","161","D46"
"869","161","D46"
"871","161","D46"
"872","163","D50"
"873","166","D52"
"875","167","D53"
"876","169","D54"
"877","169","D54"
"878","171","D56"
"879","173","D58"
"880","173","D58"
"883","428","N41"
"888","123","D1"
"889","123","D1"
"890","124","D2"
"891","124","D2"
"892","126","D3"
"893","128","D4"
"894","128","D4"
"895","128","D4"
"896","130","D6"
"897","130","D6"
"898","1292","D143"
"899","133","D10"
"900","135","D12"
"904","125","D20"
"905","125","D20"
"906","137","D21"
